and,and
Salmacis,Salmacis
declare,declare
that,that
idlenesse,idleness
Is,Is
cheefest,chiefest
nurce,nurse
and,and
cherisher,cherisher
of,of
all,all
volupteousnesse,voluptuous
And,And
that,that
voluptuous,voluptuous
lyfe,life
breedes,breeds
sin,sin
which,which
linking,linking
all,all
toogither,toogither
Make,Make
men,men
too,too
bee,be
effeminate,effeminate
vnweeldy,unweeldy
weake,weak
and,and
lither,lither
Rich,Rich
Piers,Piers
daughters,daughters
turnd,turned
too,too
Pies,Pies
doo,do
openly,openly
declare,declare
That,That
none,none
so,so
bold,bold
too,too
vaunt,vaunt
themselues,themselves
as,as
blindest,blindest
bayardes,bayards
are,are
Out,Out
of,of
the,the
The,The
Muses,Muses
playnly,plainly
doo,do
declare,declare
ageine,again
a,a
toother,toother
syde,side
That,That
whereas,whereas
cheefest,chiefest
wisdom,wisdom
is,is
most,most
meeldnesse,mildness
dooth,doth
abyde,abide
Arachnee,Arachnee
may,may
example,example
bee,be
that,that
folk,folk
should,should
not,not
contend,contend
Ageinst,against
their,their
betters,betters
Out,Out
of,of
the,the
nor,nor
persist,persist
in,in
error,error
too,too
the,the
end,end
So,So
dooth,doth
the,the
tale,tale
of,of
Niobee,Niobee
and,and
of,of
her,her
children,children
and,and
The,The
transformation,transformation
of,of
the,the
Carles,Carls
that,that
dwelt,dwelled
in,in
Lycie,Lycie
land,land
Toogither,Toogither
with,with
the,the
of,of
of,of
piper,piper
Marsies,Marsies
skin,skin
The,The
first,first
doo,do
also,also
show,show
that,that
long,long
it,it
is,is
ere,ere
God,God
begin,begin
Too,Too
pay,pay
vs,us
for,for
our,our
faults,faults
and,and
that,that
he,he
warnes,warns
vs,us
oft,oft
before,before
Too,Too
leaue,leave
our,our
folly,folly
but,but
at,at
length,length
his,his
vengeance,vengeance
striketh,striketh
sore,sore
And,And
therfore,therefore
that,that
no,no
Wyght,Wight
should,should
striue,strive
with,with
God,God
in,in
word,word
nor,nor
thought,thought
Nor,Nor
deede,deed
But,But
pryde,pride
and,and
fond,fond
desyre,desire
of,of
prayse,praise
haue,have
euer,ever
wrought,wrought
Confusion,Confusion
too,too
the,the
parties,parties
which,which
accompt,account
of,of
them,them
doo,do
make,make
For,For
some,some
of,of
such,such
a,a
nature,nature
bee,be
that,that
if,if
they,they
once,once
doo,do
take,take
Opinion,Opinion
be,be
it,it
ryght,right
or,or
wrong,wrong
they,they
rather,rather
will,will
agree,agree
To,To
dye,die
than,than
seeme,seem
to,to
take,take
a,a
foyle,foil
so,so
obstinate,obstinate
they,they
bee,be
The,The
tale,tale
of,of
Tereus,Tereus
Philomele,Philomele
and,and
Prognee,Prognee
dooth,doth
conteyne,contain
That,That
folke,folk
are,are
blynd,blind
in,in
thyngs,things
that,that
too,too
their,their
proper,proper
weale,weal
perteyne,pertain
And,And
that,that
the,the
man,man
in,in
whom,whom
the,the
fyre,fire
of,of
furious,furious
lust,lust
dooth,doth
reigne,reign
Dooth,Doth
run,run
too,too
mischeefe,mischief
like,like
a,a
horse,horse
that,that
getteth,getteth
loose,lose
the,the
It,It
also,also
shewes,shows
the,the
cruell,cruel
wreake,wreak
of,of
women,women
in,in
their,their
wrath,wrath
And,And
that,that
no,no
hainous,heinous
mischiefe,mischief
long,long
delay,delay
of,of
vengeance,vengeance
hath,hath
And,And
lastly,lastly
that,that
distresse,distress
doth,doth
driue,drive
a,a
man,man
too,too
looke,look
about,about
And,And
seeke,seek
all,all
corners,corners
of,of
his,his
wits,wits
what,what
way,way
too,too
wind,wind
him,him
out,out
The,The
good,good
successe,success
of,of
Iason,jason
in,in
the,the
land,land
of,of
Colchos,Colchos
Out,Out
of,of
the,the
vij,seven
and,and
The,The
dooings,doings
of,of
Medea,Medea
since,since
doo,do
giue,give
too,too
vnderstand,understand
That,That
nothing,nothing
is,is
so,so
hard,hard
but,but
peyne,pain
and,and
trauell,travel
doo,do
it,it
win,win
For,For
fortune,fortune
euer,ever
fauoreth,favoureth
such,such
as,as
boldly,boldly
doo,do
begin,begin
That,That
women,women
both,both
in,in
helping,helping
and,and
in,in
hurting,hurting
haue,have
no,no
match,match
When,When
they,they
too,too
eyther,either
bend,bend
their,their
wits,wits
and,and
how,how
that,that
for,for
too,too
catch,catch
An,An
honest,honest
meener,meener
vnder,under
fayre,fair
pretence,pretence
of,of
frendship,friendship
is,is
An,An
easie,easy
matter,matter
Also,Also
there,there
is,is
warning,warning
giuen,given
of,of
this,this
That,That
men,men
should,should
neuer,never
hastely,hastily
giue,give
eare,ear
too,too
fugitiues,fugitives
Nor,Nor
into,into
handes,hands
of,of
sorcerers,sorcerers
commit,commit
their,their
state,state
or,or
lyues,lives
It,It
shewes,shows
in,in
fine,fine
of,of
stepmoothers,stepmoothers
the,the
deadly,deadly
hate,hate
in,in
part,part
And,And
vengeaunce,vengeance
most,most
vnnaturall,unnatural
that,that
was,was
in,in
moothers,mothers
hart,heart
The,The
deedes,deeds
of,of
Theseus,Theseus
are,are
a,a
spurre,spur
too,too
prowesse,prowess
and,and
a,a
glasse,glass
How,How
princes,princes
sonnes,sons
and,and
noblemen,noblemen
their,their
youthfull,youthful
yeeres,years
should,should
passe,pass
King,King
Minos,Minos
shewes,shows
that,that
kings,kings
in,in
hand,hand
no,no
wrongfull,wrongful
wars,wars
should,should
take,take
And,And
what,what
prouision,provision
for,for
the,the
same,same
they,they
should,should
before,before
hand,hand
make,make
King,King
Aeacus,Aeacus
giues,gives
also,also
there,there
example,example
how,how
that,that
kings,kings
Should,Should
keepe,keep
their,their
promise,promise
and,and
their,their
leages,leagues
aboue,above
all,all
other,other
things,things
His,His
graue,grave
description,description
of,of
the,the
plage,plague
and,and
end,end
thereof,thereof
expresse,express
The,The
wrath,wrath
of,of
God,God
on,on
man,man
for,for
sin,sin
and,and
how,how
that,that
nerethelesse,ne'ertheless
He,He
dooth,doth
vs,us
spare,spare
and,and
multiply,multiply
ageine,again
for,for
goodmens,goodman's
sakes,sakes
The,The
whole,whole
discourse,discourse
of,of
Cephalus,Shafalus
and,and
Procris,Procris
mention,mention
makes,makes
That,That
maried,married
folke,folk
should,should
warely,warily
shunne,shun
the,the
vyce,vice
of,of
iealozie,jealousy
And,And
of,of
suspicion,suspicion
should,should
auoyd,avoid
all,all
causes,causes
vtterly,utterly
Reprouing,Reproving
by,by
the,the
way,way
all,all
such,such
as,as
causelesse,causeless
doo,do
misdeeme,misdeem
The,The
chaste,chaste
and,and
giltlesse,guiltless
for,for
the,the
deedes,deeds
of,of
those,those
that,that
faultie,faulty
seeme,seem
The,The
storie,story
of,of
the,the
daughter,daughter
of,of
king,king
Nisus,Nisus
setteth,setteth
out,out
Out,Out
of,of
the,the
viij,viij
What,What
wicked,wicked
lust,lust
folk,folk
vntoo,unto
too,too
bring,bring
their,their
wills,wills
about,about
And,And
of,of
a,a
rightuous,righteous
iudge,judge
is,is
giuen,given
example,example
in,in
the,the
same,same
Who,Who
for,for
no,no
meede,meed
nor,nor
frendship,friendship
will,will
consent,consent
too,too
any,any
blame,blame
Wee,We
may,may
perceyue,perceive
in,in
Dedalus,Dedalus
how,how
euery,every
man,man
by,by
kynd,kind
Desyres,Desires
too,too
bee,be
at,at
libertie,liberty
and,and
with,with
an,an
earnest,earnest
mynd,mind
Dooth,Doth
seeke,seek
too,too
see,see
his,his
natiue,native
soyle,soil
and,and
how,how
that,that
streight,straight
distresse,distress
Dooth,Doth
make,make
men,men
wyse,wise
and,and
sharpes,sharps
their,their
wits,wits
to,to
fynd,find
their,their
own,own
redresse,redress
Wee,We
also,also
lerne,learn
by,by
Icarus,Icarus
how,how
good,good
it,it
is,is
too,too
bee,be
In,In
meane,mean
estate,estate
and,and
not,not
too,too
clymb,clymb
too,too
hygh,high
but,but
too,too
agree,agree
Too,Too
wholsome,wholesome
counsell,counsel
for,for
the,the
hyre,hire
of,of
disobedience,disobedience
is,is
Repentance,Repentance
when,when
it,it
is,is
too,too
late,late
forthinking,forthinking
things,things
amisse,amiss
And,And
Partrich,Partridge
telles,tells
that,that
excellence,excellence
in,in
any,any
thing,thing
procures,procures
Men,Men
enuie,envy
euen,even
among,among
those,those
frendes,friends
whom,whom
nature,nature
most,most
assures,assures
Philemon,Philemon
and,and
his,his
feere,fear
are,are
rules,rules
of,of
godly,godly
pacient,patient
lyfe,life
Of,Of
sparing,sparing
thrift,thrift
and,and
mutuall,mutual
loue,love
betweene,between
the,the
man,man
and,and
wyfe,wife
Of,Of
due,due
obedience,obedience
of,of
the,the
feare,fear
of,of
God,God
and,and
of,of
reward,reward
For,For
good,good
or,or
euill,evil
vsage,usage
shewd,showed
too,too
wandring,wandering
straungers,strangers
ward,ward
In,In
Erisicthon,Erisychthon
dooth,doth
appeere,appear
a,a
lyuely,lively
image,image
both,both
Of,Of
wickednesse,wickedness
and,and
crueltie,cruelty
which,which
any,any
Wyght,Wight
may,may
lothe,loath
And,And
of,of
the,the
hyre,hire
that,that
longs,longs
theretoo,thereto
He,He
sheweth,showeth
also,also
That,That
whereas,whereas
prodigalitie,prodigality
and,and
gluttony,gluttony
dooth,doth
reigne,reign
A,A
world,world
of,of
riches,riches
and,and
of,of
goods,goods
are,are
euer,ever
with,with
the,the
least,least
Too,Too
satisfye,satisfy
the,the
appetite,appetite
and,and
eye,eye
of,of
such,such
a,a
beast,beast
In,In
Hercules,Hercules
and,and
Acheloyes,Acheloyes
encounters,encounters
is,is
set,set
out,out
Out,Out
of,of
the,the
ix,ix
The,The
nature,nature
and,and
behauiour,behaviour
of,of
twoo,two
wooers,wooers
that,that
be,be
stout,stout
Wherein,Wherein
the,the
Poet,Poet
couertly,covertly
taunts,taunts
such,such
as,as
beeing,being
bace,base
Doo,Do
seeke,seek
by,by
forged,forged
pedegrees,pedigrees
too,too
seeme,seem
of,of
noble,noble
race,race
Who,Who
when,when
they,they
doo,do
perceyue,perceive
no,no
truth,truth
vppon,upon
their,their
syde,side
too,too
stand,stand
In,In
stead,stead
of,of
reason,reason
and,and
of,of
ryght,right
vse,use
force,force
and,and
myght,might
of,of
hand,hand
This,This
fable,fable
also,also
signifies,signifies
that,that
valiantnesse,valiantness
of,of
hart,heart
Consisteth,Consisteth
not,not
in,in
woords,words
but,but
deedes,deeds
and,and
that,that
all,all
slyght,slight
and,and
Art,Art
Giue,Give
place,place
too,too
prowesse,prowess
Furthermore,Furthermore
in,in
Nessus,Nessus
wee,we
may,may
see,see
What,What
breach,breach
of,of
promise,promise
commeth,cometh
too,too
and,and
how,how
that,that
such,such
as,as
bee,be
Unable,Unable
for,for
too,too
wreake,wreak
theyr,their
harmes,harms
by,by
force,force
doo,do
oft,oft
deuyse,devise
Too,Too
wreake,wreak
themselues,themselves
by,by
pollicie,policy
in,in
farre,far
more,more
cruell,cruel
wise,wise
And,And
Deyanira,Deianeira
dooth,doth
declare,declare
the,the
force,force
of,of
iealozie,jealousy
Deceyued,deceived
through,through
too,too
lyght,light
beleef,belief
and,and
fond,fond
simplicitie,simplicity
The,The
processe,process
following,following
peinteth,peinteth
out,out
true,true
manlynesse,manliness
of,of
hart,heart
Which,Which
yeeldeth,yieldeth
neyther,neither
vntoo,unto
death,death
too,too
sorrow,sorrow
greef,grief
nor,nor
smart,smart
And,And
finally,finally
it,it
shewes,shows
that,that
such,such
as,as
liue,live
in,in
true,true
renowne,renown
Of,Of
vortue,vortue
heere,here
haue,have
after,after
death,death
an,an
euerlasting,everlasting
crowne,crown
Of,Of
glorie,glory
Cawne,Cawne
and,and
Byblis,Byblis
are,are
examples,examples
contrarie,contrary
The,The
Mayd,Maid
of,of
most,most
outrageous,outrageous
lust,lust
the,the
man,man
of,of
The,The
tenth,tenth
booke,book
cheefly,chiefly
dooth,doth
containe,contain
one,one
kynd,kind
of,of
argument,argument
Reprouing,Reproving
most,most
prodigious,prodigious
lusts,lusts
of,of
such,such
as,as
haue,have
bene,been
bent,bend
Out,Out
of,of
the,the
Too,Too
incest,incest
most,most
vnnaturall,unnatural
And,And
in,in
the,the
latter,latter
end,end
It,It
sheweth,showeth
in,in
Hippomenes,Hippomenes
how,how
greatly,greatly
folk,folk
offend,offend
That,That
are,are
ingrate,ingrate
for,for
which,which
God,God
or,or
man,man
bestow,bestow
Uppon,Upon
them,them
in,in
the,the
time,time
of,of
neede,need
Moreouer,Moreover
it,it
dooth,doth
show,show
That,That
beawty,beauty
will,will
they,they
nill,nill
they,they
aye,aye
dooth,doth
men,men
in,in
daunger,danger
throw,throw
And,And
that,that
it,it
is,is
a,a
too,too
stryue,strive
ageinst,against
the,the
thing,thing
Which,Which
God,God
before,before
determineth,determineth
too,too
passe,pass
in,in
tyme,time
too,too
bring,bring
And,And
last,last
of,of
all,all
death,death
dooth,doth
shew,show
that,that
manhod,manhood
striues,strives
Against,Against
though,though
men,men
see,see
the,the
perill,peril
of,of
theyr,their
lyues,lives
The,The
death,death
of,of
Orphey,Orphey
sheweth,showeth
Gods,God's
iust,just
vengeance,vengeance
on,on
the,the
vyle,vile
And,And
wicked,wicked
sort,sort
which,which
horribly,horribly
with,with
incest,incest
them,them
defyle,defile
Out,Out
of,of
the,the
xj,xj
In,In
Midas,Midas
of,of
a,a
couetous,covetous
wretch,wretch
the,the
image,image
wee,we
may,may
see,see
Whose,Whose
riches,riches
iustly,justly
too,too
himself,himself
a,a
hellish,hellish
torment,torment
bee,be
And,And
of,of
a,a
foole,fool
whom,whom
neyther,neither
proof,proof
nor,nor
warning,warning
amend,amend
Untill,Until
he,he
feele,feel
the,the
shame,shame
and,and
smart,smart
that,that
folly,folly
doth,doth
him,him
send,send
His,His
