Pitty,Pity
did,did
raigne,reign
in,in
Bishop,Bishop
Lord,Lord
and,and
King,King
Mercy,Mercy
and,and
Iustice,justice
were,were
so,so
met,met
in,in
one,one
That,That
Iustice,justice
scarce,scarce
from,from
Mercy,Mercy
could,could
be,be
knowne,known
So,So
for,for
a,a
Nation,Nation
pittifull,pitiful
and,and
loyall,loyal
Great,Great
Britaine,Britain
shall,shall
winne,win
praise,praise
past,past
all,all
deniall,denial
No,No
man,man
shall,shall
need,need
to,to
grieue,grieve
or,or
to,to
lament,lament
For,For
's,'s
place,place
of,of
Custome,Custom
or,or
Demolishment,Demolishment
And,And
blessings,blessings
many,many
will,will
the,the
Worke,Work
attend,attend
From,From
the,the
beginning,beginning
to,to
the,the
very,very
end,end
But,But
yet,yet
though,though
pitty,pity
here,here
we,we
doe,do
request,request
That,That
none,none
may,may
thinke,think
themselues,themselves
too,too
much,much
opprest,oppressed
Let,Let
such,such
as,as
must,must
depart,depart
their,their
houses,houses
know,know
No,No
winde,wind
so,so
calme,calm
or,or
warme,warm
did,did
euer,ever
blow,blow
Nor,Nor
euer,ever
was,was
a,a
Worke,Work
so,so
good,good
as,as
this,this
But,But
that,that
with,with
some,some
it,it
blew,blue
or,or
went,went
amisse,amiss
Then,Then
sith,sith
herein,herein
the,the
wind,wind
blowes,blows
somwhat,somewhat
ill,ill
For,For
such,such
as,as
ioyne,join
to,to
Pauls,Paul's
against,against
her,her
will,will
That,That
haue,have
impair'd,impaired
her,her
strength,strength
by,by
vaults,vaults
cellars,cellars
To,To
make,make
more,more
roome,room
for,for
Buyers,Buyers
and,and
for,for
Sellers,Sellers
Let,Let
them,them
with,with
patience,patience
endure,endure
some,some
losse,loss
And,And
for,for
the,the
Worke,Work
sake,sake
beare,bear
a,a
little,little
crosse,cross
Not,Not
grudgingly,grudgingly
or,or
by,by
pronouncing,pronouncing
wrong,wrong
Cause,Cause
ther,there
's,'s
their,their
Custom,Custom
there,there
they,they
liued,lived
long,long
though,though
desire,desire
of,of
gaine,gain
's,'s
a,a
grieuous,grievous
Tempter,Tempter
There,There
is,is
a,a
Prouerb,Proverb
bids,bids
them,them
Caueat,Caveat
Emptor,Emptor
And,And
ne'rethelesse,nevertheless
their,their
Custome,Custom
and,and
their,their
trade,trade
This,This
House,House
of,of
God,God
must,must
new,new
againe,again
be,be
made,made
Was,Was
it,it
not,not
example,example
scurrilous,scurrilous
and,and
rude,rude
At,At
first,first
to,to
grant,grant
that,that
trades,trades
should,should
there,there
intrudel,intrudel
Nay,Nay
are,are
they,they
not,not
accursed,accursed
that,that
did,did
yeeld,yield
To,To
make,make
Gods,Gods
Courts,Courts
a,a
merchandizing,merchandizing
field,field
May,May
we,we
not,not
call,call
them,them
beasts,beasts
euen,even
to,to
their,their
faces,faces
That,That
like,like
bruit,bruit
beasts,beasts
defile,defile
such,such
sacred,sacred
places,places
Things,Things
consecrated,consecrated
vnto,unto
vses,uses
Is,Is
't,'t
fit,fit
that,that
they,they
should,should
suffer,suffer
foule,foul
