Discourses,Discourses
concerning,concerning
him,him
refers,refers
to,to
two,two
things,things
his,his
Apparel,Apparel
and,and
his,his
Diet,Diet
His,His
Apparel,Apparel
There,There
was,was
a,a
certain,certain
rich,rich
man,man
who,who
was,was
clothed,clothed
in,in
Purple,Purple
and,and
fine,fine
Linen,Linen
Such,Such
was,was
the,the
usual,usual
Garb,Garb
of,of
the,the
greatest,greatest
Persons,Persons
The,The
Kings,Kings
of,of
Midian,Midian
had,had
their,their
Purple,Purple
Raiment,Raiment
Judg,judge
So,So
Mordecai,Mordecai
when,when
he,he
went,went
out,out
from,from
the,the
Presence,Presence
of,of
the,the
King,King
in,in
Royal,Royal
Apparel,Apparel
is,is
described,described
with,with
a,a
Garment,Garment
of,of
fine,fine
Linen,Linen
and,and
Purple,Purple
When,When
they,they
led,lead
Our,Our
Lord,Lord
about,about
as,as
a,a
Mock-Prince,Mock-Prince
they,they
clothed,clothed
him,him
with,with
Purple,Purple
Mark,Mark
and,and
fine,fine
Linen,Linen
and,and
Purple,Purple
are,are
mentioned,mentioned
as,as
the,the
Robes,Robes
of,of
Babylon,Babylon
the,the
great,great
His,His
Diet,Diet
and,and
fared,fared
sumptuously,sumptuously
every,every
day,day
the,the
Words,Words
signifie,signify
that,that
he,he
made,made
merry,merry
and,and
that,that
he,he
lived,lived
splendidly,splendidly
He,He
made,made
merry,merry
so,so
the,the
same,same
Word,Word
is,is
render'd,rendered
in,in
a,a
like,like
Case,Case
Luke,Luke
Take,Take
thine,thine
ease,ease
eat,eat
drink,drink
and,and
be,be
merry,merry
His,His
Excesses,Excesses
were,were
attended,attended
with,with
a,a
Jovial,Jovial
Frame,Frame
and,and
the,the
Song,Song
of,of
Fools,Fools
was,was
the,the
Musick,music
at,at
his,his
Table,Table
He,He
lived,lived
splendidly,splendidly
he,he
studied,studied
Pomp,Pomp
and,and
Magnificence,Magnificence
Gallantry,Gallantry
and,and
State,State
and,and
so,so
abundance,abundance
of,of
needless,needless
cost,cost
was,was
bestowed,bestowed
and,and
much,much
Treasure,Treasure
vainly,vainly
wasted,wasted
to,to
a,a
sinful,sinful
end,end
The,The
aggravation,aggravation
of,of
which,which
was,was
that,that
he,he
did,did
it,it
day,day
by,by
day,day
it,it
was,was
not,not
now,now
and,and
then,then
like,like
Nabal's,Nabal's
Feast,Feast
upon,upon
a,a
rare,rare
and,and
extraordinary,extraordinary
occasion,occasion
but,but
it,it
was,was
his,his
constant,constant
customary,customary
practice,practise
without,without
any,any
intermission,intermission
like,like
those,those
Drunkards,Drunkards
in,in
the,the
Prophet,Prophet
who,who
said,said
To,To
Morrow,Morrow
shall,shall
be,be
as,as
this,this
Day,Day
Isa,Isa
Observ,observe
Pride,Pride
and,and
Luxury,Luxury
are,are
such,such
abuses,abuses
of,of
Worldly,Worldly
Riches,Riches
as,as
Worldly,Worldly
Men,Men
are,are
very,very
incident,incident
to,to
It,It
was,was
not,not
this,this
Man's,Man's
sin,sin
that,that
he,he
was,was
rich,rich
for,for
't,'t
is,is
possible,possible
to,to
be,be
rich,rich
in,in
this,this
World,World
and,and
rich,rich
towards,towards
God,God
too,too
And,And
the,the
Blessing,Blessing
of,of
the,the
Lord,Lord
maketh,maketh
some,some
rich,rich
therefore,therefore
we,we
may,may
be,be
innocently,innocently
so,so
Nor,Nor
was,was
it,it
his,his
sin,sin
to,to
be,be
clothed,clothed
according,according
to,to
his,his
Quality,Quality
or,or
to,to
feed,feed
in,in
a,a
proportionable,proportionable
manner,manner
Our,Our
Lord,Lord
speaks,speaks
of,of
those,those
that,that
are,are
in,in
Kings,Kings
Courts,Courts
and,and
such,such
like,like
places,places
as,as
being,being
gorgeously,gorgeously
apparelled,appareled
and,and
living,living
delicately,delicately
without,without
passing,passing
any,any
censure,censure
Luke,Luke
i,i
e,e
gorgeously,gorgeously
and,and
delicately,delicately
in,in
comparison,comparison
with,with
those,those
of,of
a,a
meaner,meaner
rank,rank
But,But
the,the
sin,sin
lay,lay
here,here
that,that
he,he
made,made
his,his
Back,Back
and,and
his,his
Belly,Belly
his,his
God,God
and,and
that,that
he,he
prodigally,prodigally
sacrific'd,sacrificed
to,to
both,both
and,and
devoted,devoted
himself,himself
and,and
all,all
that,that
he,he
had,had
to,to
their,their
service,service
Here,Here
First,First
I,I
'll,'ll
shew,show
wherein,wherein
this,this
Pride,Pride
and,and
Luxury,Luxury
consist,consist
Secondly,Secondly
How,How
Worldly,Worldly
Riches,Riches
are,are
abused,abused
by,by
these,these
sins,sins
Thirdly,Thirdly
Whence,Whence
it,it
is,is
that,that
Worldly,Worldly
Men,Men
are,are
so,so
incident,incident
to,to
them,them
Fourthly,Fourthly
Use,Use
First,First
Wherein,Wherein
this,this
Pride,Pride
and,and
Luxury,Luxury
consist,consist
It,It
will,will
be,be
best,best
to,to
open,open
each,each
of,of
them,them
distinctly,distinctly
Wherein,Wherein
this,this
Pride,Pride
consists,consists
Tho,Tho
it,it
do,do
not,not
consist,consist
in,in
rich,rich
Attire,Attire
it self,itself
yet,yet
it,it
lies,lies
in,in
the,the
affectation,affectation
of,of
it,it
Rich,Rich
Attire,Attire
is,is
as,as
suitable,suitable
to,to
persons,persons
of,of
large,large
Estates,Estates
as,as
the,the
plainest,plainest
and,and
coursest,coursest
is,is
to,to
those,those
that,that
are,are
of,of
an,an
inferiour,inferior
degree,degree
and,and
may,may
as,as
lawfully,lawfully
be,be
worn,worn
but,but
none,none
can,can
affect,affect
it,it
without,without
sin,sin
So,So
long,long
as,as
the,the
heart,heart
is,is
kept,kept
from,from
going,going
out,out
after,after
these,these
things,things
't,'t
is,is
well,well
but,but
a,a
fond,fond
inclination,inclination
to,to
them,them
makes,makes
us,us
guilty,guilty
as,as
the,the
Jews,Jews
are,are
said,said
to,to
dote,dote
upon,upon
the,the
images,images
of,of
the,the
Chaldeans,Chaldeans
men,men
pourtrayed,portrayed
with,with
Vermilion,Vermilion
exceeding,exceeding
in,in
Dyed,Dyed
Attire,Attire
upon,upon
their,their
Heads,Heads
Ezek,Ezek
There,There
are,are
Three,Three
ways,ways
especially,especially
whereby,whereby
this,this
sinful,sinful
affectation,affectation
is,is
discover'd,discovered
By,By
the,the
extravagant,extravagant
costliness,costliness
of,of
Apparel,Apparel
when,when
persons,persons
care,care
not,not
how,how
much,much
is,is
swallowed,swallowed
up,up
perhaps,perhaps
in,in
a,a
particular,particular
Garment,Garment
or,or
when,when
the,the
substance,substance
of,of
an,an
ample,ample
Revenue,Revenue
is,is
put,put
on,on
at,at
once,once
To,To
go,go
to,to
the,the
utmost,utmost
of,of
what,what
a,a
man,man
may,may
conveniently,conveniently
allow,allow
and,and
much,much
more,more
to,to
outgoe,outgo
the,the
measure,measure
is,is
a,a
Mark,Mark
of,of
the,the
proud,proud
in,in
Spirit,Spirit
for,for
humility,humility
would,would
rather,rather
teach,teach
us,us
to,to
come,come
short,short
and,and
be,be
content,content
with,with
somewhat,somewhat
less,less
It,It
appears,appears
often,often
by,by
the,the
vanity,vanity
